wave[A] flux[Arbitrary]
440000 0.26313
440500 0.26282
441000 0.26250
441500 0.26219
442000 0.26188
442500 0.26157
443000 0.26125
443500 0.26094
444000 0.26063
444500 0.26032
445000 0.26000
445500 0.25969
446000 0.25938
446500 0.25907
447000 0.25875
447500 0.25844
448000 0.25813
448500 0.25782
449000 0.25750
449500 0.25719
450000 0.25688
450500 0.25657
451000 0.25625
451500 0.25594
452000 0.25563
452500 0.25532
453000 0.25500
453500 0.25469
454000 0.25439
454500 0.25409
455000 0.25379
455500 0.25349
456000 0.25319
456500 0.25289
457000 0.25259
457500 0.25229
458000 0.25199
458500 0.25169
459000 0.25139
459500 0.25109
460000 0.25079
460500 0.25049
461000 0.25019
461500 0.24989
462000 0.24959
462500 0.24929
463000 0.24899
463500 0.24869
464000 0.24839
464500 0.24809
465000 0.24779
465500 0.24748
466000 0.24718
466500 0.24688
467000 0.24658
467500 0.24628
468000 0.24598
468500 0.24568
469000 0.24538
469500 0.24508
470000 0.24478
470500 0.24448
471000 0.24418
471500 0.24388
472000 0.24358
472500 0.24328
473000 0.24298
473500 0.24268
474000 0.24238
474500 0.24208
475000 0.24178
475500 0.24149
476000 0.24121
476500 0.24092
477000 0.24063
477500 0.24034
478000 0.24005
478500 0.23977
479000 0.23948
479500 0.23919
480000 0.23890
480500 0.23861
481000 0.23833
481500 0.23804
482000 0.23775
482500 0.23746
483000 0.23717
483500 0.23689
484000 0.23660
484500 0.23631
485000 0.23602
485500 0.23574
486000 0.23545
486500 0.23516
487000 0.23487
487500 0.23458
488000 0.23430
488500 0.23401
489000 0.23372
489500 0.23343
490000 0.23314
490500 0.23286
491000 0.23257
491500 0.23228
492000 0.23199
492500 0.23170
493000 0.23142
493500 0.23113
494000 0.23084
494500 0.23055
495000 0.23027
495500 0.22998
496000 0.22969
496500 0.22940
497000 0.22911
497500 0.22883
498000 0.22855
498500 0.22827
499000 0.22800
499500 0.22772
500000 0.22745
500500 0.22717
501000 0.22689
501500 0.22662
502000 0.22634
502500 0.22606
503000 0.22579
503500 0.22551
504000 0.22524
504500 0.22496
505000 0.22468
505500 0.22441
506000 0.22413
506500 0.22386
507000 0.22358
507500 0.22330
508000 0.22303
508500 0.22275
509000 0.22248
509500 0.22220
510000 0.22192
510500 0.22165
511000 0.22137
511500 0.22110
512000 0.22082
512500 0.22054
513000 0.22027
513500 0.21999
514000 0.21972
514500 0.21944
515000 0.21916
515500 0.21889
516000 0.21861
516500 0.21834
517000 0.21806
517500 0.21778
518000 0.21751
518500 0.21723
519000 0.21696
519500 0.21668
520000 0.21640
520500 0.21613
521000 0.21585
521500 0.21559
522000 0.21532
522500 0.21506
523000 0.21479
523500 0.21453
524000 0.21426
524500 0.21400
525000 0.21374
525500 0.21347
526000 0.21321
526500 0.21294
527000 0.21268
527500 0.21241
528000 0.21215
528500 0.21188
529000 0.21162
529500 0.21136
530000 0.21109
530500 0.21083
531000 0.21056
531500 0.21030
532000 0.21003
532500 0.20977
533000 0.20950
533500 0.20924
534000 0.20897
534500 0.20871
535000 0.20845
535500 0.20818
536000 0.20792
536500 0.20765
537000 0.20739
537500 0.20712
538000 0.20686
538500 0.20659
539000 0.20633
539500 0.20607
540000 0.20580
540500 0.20554
541000 0.20527
541500 0.20501
542000 0.20474
542500 0.20448
543000 0.20421
543500 0.20395
544000 0.20368
544500 0.20342
545000 0.20316
545500 0.20289
546000 0.20264
546500 0.20238
547000 0.20213
547500 0.20188
548000 0.20162
548500 0.20137
549000 0.20112
549500 0.20086
550000 0.20061
550500 0.20036
551000 0.20010
551500 0.19985
552000 0.19960
552500 0.19934
553000 0.19909
553500 0.19884
554000 0.19859
554500 0.19833
555000 0.19808
555500 0.19783
556000 0.19757
556500 0.19732
557000 0.19707
557500 0.19681
558000 0.19656
558500 0.19631
559000 0.19605
559500 0.19580
560000 0.19555
560500 0.19529
561000 0.19504
561500 0.19479
562000 0.19453
562500 0.19428
563000 0.19403
563500 0.19377
564000 0.19352
564500 0.19327
565000 0.19301
565500 0.19276
566000 0.19251
566500 0.19225
567000 0.19200
567500 0.19175
568000 0.19149
568500 0.19124
569000 0.19099
569500 0.19073
570000 0.19048
570500 0.19023
571000 0.18997
571500 0.18973
572000 0.18948
572500 0.18924
573000 0.18900
573500 0.18876
574000 0.18852
574500 0.18827
575000 0.18803
575500 0.18779
576000 0.18755
576500 0.18730
577000 0.18706
577500 0.18682
578000 0.18658
578500 0.18633
579000 0.18609
579500 0.18585
580000 0.18561
580500 0.18537
581000 0.18512
581500 0.18488
582000 0.18464
582500 0.18440
583000 0.18415
583500 0.18391
584000 0.18367
584500 0.18343
585000 0.18319
585500 0.18294
586000 0.18270
586500 0.18246
587000 0.18222
587500 0.18197
588000 0.18173
588500 0.18149
589000 0.18125
589500 0.18100
590000 0.18076
590500 0.18052
591000 0.18028
591500 0.18004
592000 0.17979
592500 0.17955
593000 0.17931
593500 0.17907
594000 0.17882
594500 0.17858
595000 0.17834
595500 0.17810
596000 0.17785
596500 0.17761
597000 0.17737
597500 0.17713
598000 0.17689
598500 0.17665
599000 0.17642
599500 0.17619
600000 0.17596
600500 0.17572
601000 0.17549
601500 0.17526
602000 0.17503
602500 0.17480
603000 0.17457
603500 0.17433
604000 0.17410
604500 0.17387
605000 0.17364
605500 0.17341
606000 0.17318
606500 0.17294
607000 0.17271
607500 0.17248
608000 0.17225
608500 0.17202
609000 0.17179
609500 0.17155
610000 0.17132
610500 0.17109
611000 0.17086
611500 0.17063
612000 0.17040
612500 0.17016
613000 0.16993
613500 0.16970
614000 0.16947
614500 0.16924
615000 0.16901
615500 0.16877
616000 0.16854
616500 0.16831
617000 0.16808
617500 0.16785
618000 0.16762
618500 0.16738
619000 0.16715
619500 0.16692
620000 0.16669
620500 0.16646
621000 0.16623
621500 0.16599
622000 0.16576
622500 0.16553
623000 0.16530
623500 0.16507
624000 0.16484
624500 0.16460
625000 0.16437
625500 0.16414
626000 0.16391
626500 0.16368
627000 0.16346
627500 0.16324
628000 0.16302
628500 0.16279
629000 0.16257
629500 0.16235
630000 0.16213
630500 0.16191
631000 0.16169
631500 0.16147
632000 0.16125
632500 0.16102
633000 0.16080
633500 0.16058
634000 0.16036
634500 0.16014
635000 0.15992
635500 0.15970
636000 0.15947
636500 0.15925
637000 0.15903
637500 0.15881
638000 0.15859
638500 0.15837
639000 0.15815
639500 0.15792
640000 0.15770
640500 0.15748
641000 0.15726
641500 0.15704
642000 0.15682
642500 0.15660
643000 0.15638
643500 0.15615
644000 0.15593
644500 0.15571
645000 0.15549
645500 0.15527
646000 0.15505
646500 0.15483
647000 0.15460
647500 0.15438
648000 0.15416
648500 0.15394
649000 0.15372
649500 0.15350
650000 0.15328
650500 0.15306
651000 0.15283
651500 0.15261
652000 0.15239
652500 0.15217
653000 0.15195
653500 0.15173
654000 0.15151
654500 0.15128
655000 0.15106
655500 0.15084
656000 0.15062
656500 0.15041
657000 0.15020
657500 0.14999
658000 0.14978
658500 0.14957
659000 0.14936
659500 0.14914
660000 0.14893
660500 0.14872
661000 0.14851
661500 0.14830
662000 0.14809
662500 0.14788
663000 0.14766
663500 0.14745
664000 0.14724
664500 0.14703
665000 0.14682
665500 0.14661
666000 0.14640
666500 0.14619
667000 0.14597
667500 0.14576
668000 0.14555
668500 0.14534
669000 0.14513
669500 0.14492
670000 0.14471
670500 0.14450
671000 0.14428
671500 0.14407
672000 0.14386
672500 0.14365
673000 0.14344
673500 0.14323
674000 0.14302
674500 0.14280
675000 0.14259
675500 0.14238
676000 0.14217
676500 0.14196
677000 0.14175
677500 0.14154
678000 0.14133
678500 0.14111
679000 0.14090
679500 0.14069
680000 0.14048
680500 0.14027
681000 0.14006
681500 0.13985
682000 0.13963
682500 0.13942
683000 0.13921
683500 0.13900
